kind,en,it,source
ability,Fur Coat,Foltopelo,pokeapi:ability_names.csv
ability,Gale Wings,Aliraffica,pokeapi:ability_names.csv
ability,Galvanize,Pellelettro,pokeapi:ability_names.csv
ability,Gluttony,Voracità,pokeapi:ability_names.csv
ability,Good as Gold,Corpo Aureo,pokeapi:ability_names.csv
ability,Gooey,Viscosità,pokeapi:ability_names.csv
ability,Gorilla Tactics,Vigorilla,pokeapi:ability_names.csv
ability,Grass Pelt,Peloderba,pokeapi:ability_names.csv
ability,Grassy Surge,Erbogenesi,pokeapi:ability_names.csv
ability,Grim Neigh,Nitrito Nero,pokeapi:ability_names.csv
ability,Guard Dog,Cane da Guardia,pokeapi:ability_names.csv
ability,Gulp Missile,Inghiottimissile,pokeapi:ability_names.csv
ability,Guts,Dentistretti,pokeapi:ability_names.csv
ability,Hadron Engine,Motore Adronico,pokeapi:ability_names.csv
ability,Harvest,Coglibacche,pokeapi:ability_names.csv
ability,Healer,Curacuore,pokeapi:ability_names.csv
ability,Heatproof,Antifuoco,pokeapi:ability_names.csv
ability,Heavy Metal,Metalpesante,pokeapi:ability_names.csv
ability,Honey Gather,Mielincetta,pokeapi:ability_names.csv
ability,Hospitality,Ospitalità,pokeapi:ability_names.csv
ability,Huge Power,Macroforza,pokeapi:ability_names.csv
ability,Hunger Switch,Pancialterna,pokeapi:ability_names.csv
ability,Hustle,Tuttafretta,pokeapi:ability_names.csv
ability,Hydration,Idratazione,pokeapi:ability_names.csv
ability,Hyper Cutter,Ipertaglio,pokeapi:ability_names.csv
ability,Ice Body,Corpogelo,pokeapi:ability_names.csv
ability,Ice Face,Gelofaccia,pokeapi:ability_names.csv
ability,Ice Scales,Geloscaglie,pokeapi:ability_names.csv
ability,Illuminate,Risplendi,pokeapi:ability_names.csv
ability,Illusion,Illusione,pokeapi:ability_names.csv
ability,Immunity,Immunità,pokeapi:ability_names.csv
ability,Imposter,Sosia,pokeapi:ability_names.csv
ability,Infiltrator,Intrapasso,pokeapi:ability_names.csv
ability,Innards Out,Espellinterno,pokeapi:ability_names.csv
ability,Inner Focus,Forza Interiore,pokeapi:ability_names.csv
ability,Insomnia,Insonnia,pokeapi:ability_names.csv
ability,Intimidate,Prepotenza,pokeapi:ability_names.csv
ability,Intrepid Sword,Spada Indomita,pokeapi:ability_names.csv
ability,Iron Barbs,Spineferrate,pokeapi:ability_names.csv
ability,Iron Fist,Ferropugno,pokeapi:ability_names.csv
ability,Justified,Giustizia,pokeapi:ability_names.csv
ability,Keen Eye,Sguardofermo,pokeapi:ability_names.csv
ability,Klutz,Impaccio,pokeapi:ability_names.csv
ability,Leaf Guard,Fogliamanto,pokeapi:ability_names.csv
ability,Levitate,Levitazione,pokeapi:ability_names.csv
ability,Libero,Libero,pokeapi:ability_names.csv
ability,Light Metal,Metalleggero,pokeapi:ability_names.csv
ability,Lightning Rod,Parafulmine,pokeapi:ability_names.csv
ability,Limber,Scioltezza,pokeapi:ability_names.csv
ability,Lingering Aroma,Odore Tenace,pokeapi:ability_names.csv
ability,Liquid Ooze,Melma,pokeapi:ability_names.csv
ability,Liquid Voice,Idrovoce,pokeapi:ability_names.csv
ability,Long Reach,Distacco,pokeapi:ability_names.csv
ability,Magic Bounce,Magispecchio,pokeapi:ability_names.csv
ability,Magic Guard,Magicscudo,pokeapi:ability_names.csv
ability,Magician,Prestigiatore,pokeapi:ability_names.csv
ability,Magma Armor,Magmascudo,pokeapi:ability_names.csv
ability,Magnet Pull,Magnetismo,pokeapi:ability_names.csv
ability,Marvel Scale,Pelledura,pokeapi:ability_names.csv
ability,Mega Launcher,Megalancio,pokeapi:ability_names.csv
ability,Mega Sol,Megasolar,pokeapi:ability_names.csv
ability,Merciless,Spietatezza,pokeapi:ability_names.csv
ability,Mimicry,Mimetismo,pokeapi:ability_names.csv
ability,Mind’s Eye,Occhio Interiore,pokeapi:ability_names.csv
ability,Minus,Meno,pokeapi:ability_names.csv
ability,Mirror Armor,Blindospecchio,pokeapi:ability_names.csv
ability,Misty Surge,Nebbiogenesi,pokeapi:ability_names.csv
ability,Mold Breaker,Rompiforma,pokeapi:ability_names.csv
ability,Moody,Altalena,pokeapi:ability_names.csv
ability,Motor Drive,Elettrorapid,pokeapi:ability_names.csv
ability,Moxie,Arroganza,pokeapi:ability_names.csv
ability,Multiscale,Multisquame,pokeapi:ability_names.csv
ability,Multitype,Multitipo,pokeapi:ability_names.csv
ability,Mummy,Mummia,pokeapi:ability_names.csv
ability,Mycelium Might,Micoforza,pokeapi:ability_names.csv
ability,Natural Cure,Alternacura,pokeapi:ability_names.csv
ability,Neuroforce,Cerebroforza,pokeapi:ability_names.csv
ability,Neutralizing Gas,Gas Reagente,pokeapi:ability_names.csv
ability,No Guard,Nullodifesa,pokeapi:ability_names.csv
ability,Normalize,Normalità,pokeapi:ability_names.csv
ability,Oblivious,Indifferenza,pokeapi:ability_names.csv
ability,Opportunist,Scrocco,pokeapi:ability_names.csv
ability,Orichalcum Pulse,Ritmo d’Oricalco,pokeapi:ability_names.csv
ability,Overcoat,Copricapo,pokeapi:ability_names.csv
ability,Overgrow,Erbaiuto,pokeapi:ability_names.csv
ability,Own Tempo,Mente Locale,pokeapi:ability_names.csv
ability,Parental Bond,Amorefiliale,pokeapi:ability_names.csv
ability,Pastel Veil,Pastelvelo,pokeapi:ability_names.csv
ability,Perish Body,Ultimotocco,pokeapi:ability_names.csv
ability,Pickpocket,Arraffalesto,pokeapi:ability_names.csv
ability,Pickup,Raccolta,pokeapi:ability_names.csv
ability,Piercing Drill,Punta Perforante,pokeapi:ability_names.csv
ability,Pixilate,Pellefolletto,pokeapi:ability_names.csv
ability,Plus,Più,pokeapi:ability_names.csv
ability,Poison Heal,Velencura,pokeapi:ability_names.csv
ability,Poison Point,Velenopunto,pokeapi:ability_names.csv
ability,Poison Puppeteer,Malia Tossica,pokeapi:ability_names.csv
ability,Poison Touch,Velentocco,pokeapi:ability_names.csv
ability,Power Construct,Sciamefusione,pokeapi:ability_names.csv
ability,Power Spot,Fonte Energetica,pokeapi:ability_names.csv
ability,Power of Alchemy,Forza Chimica,pokeapi:ability_names.csv
ability,Prankster,Burla,pokeapi:ability_names.csv
ability,Pressure,Pressione,pokeapi:ability_names.csv
ability,Primordial Sea,Mare Primordiale,pokeapi:ability_names.csv
ability,Prism Armor,Scudoprisma,pokeapi:ability_names.csv
ability,Propeller Tail,Elicopinna,pokeapi:ability_names.csv
ability,Protean,Mutatipo,pokeapi:ability_names.csv
ability,Protosynthesis,Paleoattivazione,pokeapi:ability_names.csv
ability,Psychic Surge,Psicogenesi,pokeapi:ability_names.csv
ability,Punk Rock,Punk Rock,pokeapi:ability_names.csv
ability,Pure Power,Forzapura,pokeapi:ability_names.csv
ability,Purifying Salt,Sale Purificante,pokeapi:ability_names.csv
ability,Quark Drive,Carica Quark,pokeapi:ability_names.csv
ability,Queenly Majesty,Regalità,pokeapi:ability_names.csv
ability,Quick Draw,Colpolesto,pokeapi:ability_names.csv
ability,Quick Feet,Piedisvelti,pokeapi:ability_names.csv
ability,RKS System,Sistema Primevo,pokeapi:ability_names.csv
ability,Rain Dish,Copripioggia,pokeapi:ability_names.csv
ability,Rattled,Paura,pokeapi:ability_names.csv
ability,Receiver,Ricezione,pokeapi:ability_names.csv
ability,Reckless,Temerarietà,pokeapi:ability_names.csv
ability,Refrigerate,Pellegelo,pokeapi:ability_names.csv
ability,Regenerator,Rigenergia,pokeapi:ability_names.csv
ability,Ripen,Maturazione,pokeapi:ability_names.csv
ability,Rivalry,Antagonismo,pokeapi:ability_names.csv
ability,Rock Head,Testadura,pokeapi:ability_names.csv
ability,Rocky Payload,Portamassi,pokeapi:ability_names.csv
ability,Rough Skin,Cartavetro,pokeapi:ability_names.csv
ability,Run Away,Fugafacile,pokeapi:ability_names.csv
ability,Sand Force,Silicoforza,pokeapi:ability_names.csv
ability,Sand Rush,Remasabbia,pokeapi:ability_names.csv
ability,Sand Spit,Sputasabbia,pokeapi:ability_names.csv
ability,Sand Stream,Sabbiafiume,pokeapi:ability_names.csv
ability,Sand Veil,Sabbiavelo,pokeapi:ability_names.csv
ability,Sap Sipper,Mangiaerba,pokeapi:ability_names.csv
ability,Schooling,Banco,pokeapi:ability_names.csv
ability,Scrappy,Nervisaldi,pokeapi:ability_names.csv
ability,Screen Cleaner,Annullabarriere,pokeapi:ability_names.csv
ability,Seed Sower,Spargisemi,pokeapi:ability_names.csv
ability,Serene Grace,Leggiadro,pokeapi:ability_names.csv
ability,Shadow Shield,Spettroguardia,pokeapi:ability_names.csv
ability,Shadow Tag,Pedinombra,pokeapi:ability_names.csv
ability,Sharpness,Affilama,pokeapi:ability_names.csv
ability,Shed Skin,Muta,pokeapi:ability_names.csv
ability,Sheer Force,Forzabruta,pokeapi:ability_names.csv
ability,Shell Armor,Guscioscudo,pokeapi:ability_names.csv
ability,Shield Dust,Polvoscudo,pokeapi:ability_names.csv
ability,Shields Down,Scudosoglia,pokeapi:ability_names.csv
ability,Simple,Disinvoltura,pokeapi:ability_names.csv
ability,Skill Link,Abillegame,pokeapi:ability_names.csv
ability,Slow Start,Lentoinizio,pokeapi:ability_names.csv
ability,Slush Rush,Spalaneve,pokeapi:ability_names.csv
ability,Sniper,Cecchino,pokeapi:ability_names.csv
ability,Snow Cloak,Mantelneve,pokeapi:ability_names.csv
ability,Snow Warning,Scendineve,pokeapi:ability_names.csv
ability,Solar Power,Solarpotere,pokeapi:ability_names.csv
ability,Solid Rock,Solidroccia,pokeapi:ability_names.csv
ability,Soul-Heart,Cuoreanima,pokeapi:ability_names.csv
ability,Soundproof,Antisuono,pokeapi:ability_names.csv
ability,Speed Boost,Acceleratore,pokeapi:ability_names.csv
ability,Spicy Spray,Spargipiccante,pokeapi:ability_names.csv
ability,Stakeout,Sorveglianza,pokeapi:ability_names.csv
ability,Stall,Rallentatore,pokeapi:ability_names.csv
ability,Stalwart,Volontà di Ferro,pokeapi:ability_names.csv
ability,Stamina,Sopportazione,pokeapi:ability_names.csv
ability,Stance Change,Accendilotta,pokeapi:ability_names.csv
ability,Static,Statico,pokeapi:ability_names.csv
ability,Steadfast,Cuordeciso,pokeapi:ability_names.csv
ability,Steam Engine,Vapormacchina,pokeapi:ability_names.csv
ability,Steelworker,Tempracciaio,pokeapi:ability_names.csv
ability,Steely Spirit,Spiritoferreo,pokeapi:ability_names.csv
ability,Stench,Tanfo,pokeapi:ability_names.csv
ability,Sticky Hold,Antifurto,pokeapi:ability_names.csv
ability,Storm Drain,Acquascolo,pokeapi:ability_names.csv
ability,Strong Jaw,Ferromascella,pokeapi:ability_names.csv
ability,Sturdy,Vigore,pokeapi:ability_names.csv
ability,Suction Cups,Ventose,pokeapi:ability_names.csv
ability,Super Luck,Supersorte,pokeapi:ability_names.csv
ability,Supersweet Syrup,Sciroppo Sublime,pokeapi:ability_names.csv
ability,Supreme Overlord,Generale Supremo,pokeapi:ability_names.csv
ability,Surge Surfer,Codasurf,pokeapi:ability_names.csv
ability,Swarm,Aiutinsetto,pokeapi:ability_names.csv
ability,Sweet Veil,Dolcevelo,pokeapi:ability_names.csv
ability,Swift Swim,Nuotovelox,pokeapi:ability_names.csv
ability,Sword of Ruin,Spada Nefasta,pokeapi:ability_names.csv
ability,Symbiosis,Simbiosi,pokeapi:ability_names.csv
ability,Synchronize,Sincronismo,pokeapi:ability_names.csv
ability,Tablets of Ruin,Amuleto Nefasto,pokeapi:ability_names.csv
ability,Tangled Feet,Intricopiedi,pokeapi:ability_names.csv
ability,Tangling Hair,Boccolidoro,pokeapi:ability_names.csv
ability,Technician,Tecnico,pokeapi:ability_names.csv
ability,Telepathy,Telepatia,pokeapi:ability_names.csv
ability,Tera Shell,Teraguscio,pokeapi:ability_names.csv
ability,Tera Shift,Teramorfosi,pokeapi:ability_names.csv
ability,Teraform Zero,Zeroformazione,pokeapi:ability_names.csv
ability,Teravolt,Teravolt,pokeapi:ability_names.csv
ability,Thermal Exchange,Termoscambio,pokeapi:ability_names.csv
ability,Thick Fat,Grassospesso,pokeapi:ability_names.csv
ability,Tinted Lens,Lentifumé,pokeapi:ability_names.csv
ability,Torrent,Acquaiuto,pokeapi:ability_names.csv
ability,Tough Claws,Unghiedure,pokeapi:ability_names.csv
ability,Toxic Boost,Velenimpeto,pokeapi:ability_names.csv
ability,Toxic Chain,Catena Tossica,pokeapi:ability_names.csv
ability,Toxic Debris,Mantossina,pokeapi:ability_names.csv
ability,Trace,Traccia,pokeapi:ability_names.csv
ability,Transistor,Transistor,pokeapi:ability_names.csv
ability,Triage,Primacura,pokeapi:ability_names.csv
ability,Truant,Pigrone,pokeapi:ability_names.csv
ability,Turboblaze,Piroturbina,pokeapi:ability_names.csv
ability,Unaware,Imprudenza,pokeapi:ability_names.csv
ability,Unburden,Agiltecnica,pokeapi:ability_names.csv
ability,Unnerve,Agitazione,pokeapi:ability_names.csv
ability,Unseen Fist,Pugni Invisibili,pokeapi:ability_names.csv
ability,Vessel of Ruin,Vaso Nefasto,pokeapi:ability_names.csv
ability,Victory Star,Vittorstella,pokeapi:ability_names.csv
ability,Vital Spirit,Spiritovivo,pokeapi:ability_names.csv
ability,Volt Absorb,Assorbivolt,pokeapi:ability_names.csv
ability,Wandering Spirit,Anima Errante,pokeapi:ability_names.csv
ability,Water Absorb,Assorbacqua,pokeapi:ability_names.csv
ability,Water Bubble,Bolladacqua,pokeapi:ability_names.csv
ability,Water Compaction,Idrorinforzo,pokeapi:ability_names.csv
ability,Water Veil,Idrovelo,pokeapi:ability_names.csv
ability,Weak Armor,Sottilguscio,pokeapi:ability_names.csv
ability,Well-Baked Body,Bentostato,pokeapi:ability_names.csv
ability,White Smoke,Fumochiaro,pokeapi:ability_names.csv
ability,Wimp Out,Fuggifuggi,pokeapi:ability_names.csv
ability,Wind Power,Energia Eolica,pokeapi:ability_names.csv
ability,Wind Rider,Vento Propizio,pokeapi:ability_names.csv
ability,Wonder Guard,Magidifesa,pokeapi:ability_names.csv
ability,Wonder Skin,Splendicute,pokeapi:ability_names.csv
ability,Zen Mode,Stato Zen,pokeapi:ability_names.csv
ability,Zero to Hero,Supercambio,pokeapi:ability_names.csv
characteristic,A little quick tempered,Si arrabbia facilmente,pokeapi:characteristic_text.csv
characteristic,Alert to sounds,Fa attenzione ai suoni,pokeapi:characteristic_text.csv
characteristic,Capable of taking hits,È forte in attacco,pokeapi:characteristic_text.csv
characteristic,Good endurance,È molto paziente,pokeapi:characteristic_text.csv
characteristic,Good perseverance,È molto tenace,pokeapi:characteristic_text.csv
characteristic,Hates to lose,Non sopporta perdere,pokeapi:characteristic_text.csv
characteristic,Highly curious,È un grande ficcanaso,pokeapi:characteristic_text.csv
characteristic,Highly persistent,È molto ostinato,pokeapi:characteristic_text.csv
characteristic,Impetuous and silly,È irruente e semplice,pokeapi:characteristic_text.csv
characteristic,Likes to fight,Adora lottare,pokeapi:characteristic_text.csv
characteristic,Likes to relax,Adora rilassarsi,pokeapi:characteristic_text.csv
characteristic,Likes to run,Adora andare veloce,pokeapi:characteristic_text.csv
characteristic,Likes to thrash about,Adora dimenarsi,pokeapi:characteristic_text.csv
characteristic,Loves to eat,Adora mangiare,pokeapi:characteristic_text.csv
characteristic,Mischievous,È alquanto vivace,pokeapi:characteristic_text.csv
characteristic,Nods off a lot,Dorme a lungo,pokeapi:characteristic_text.csv
characteristic,Often lost in thought,Si perde nel suo mondo,pokeapi:characteristic_text.csv
characteristic,Proud of its power,La forza è il suo vanto,pokeapi:characteristic_text.csv
characteristic,Quick tempered,È facilmente irritabile,pokeapi:characteristic_text.csv
characteristic,Quick to flee,Sa fuggire velocemente,pokeapi:characteristic_text.csv
characteristic,Scatters things often,Lascia cose in giro,pokeapi:characteristic_text.csv
characteristic,Somewhat of a clown,È una specie di buffone,pokeapi:characteristic_text.csv
characteristic,Somewhat stubborn,È un po’ testardo,pokeapi:characteristic_text.csv
characteristic,Somewhat vain,È abbastanza superficiale,pokeapi:characteristic_text.csv
characteristic,Strong willed,Sa il fatto suo,pokeapi:characteristic_text.csv
characteristic,Strongly defiant,È molto insolente,pokeapi:characteristic_text.csv
characteristic,Sturdy body,Ha un corpo robusto,pokeapi:characteristic_text.csv
characteristic,Takes plenty of siestas,Si addormenta spesso,pokeapi:characteristic_text.csv
characteristic,Thoroughly cunning,È estremamente sagace,pokeapi:characteristic_text.csv
characteristic,Very finicky,È molto esigente,pokeapi:characteristic_text.csv
color,Black,Nero,pokeapi:pokemon_color_names.csv
color,Blue,Blu,pokeapi:pokemon_color_names.csv
color,Brown,Marrone,pokeapi:pokemon_color_names.csv
color,Gray,Grigio,pokeapi:pokemon_color_names.csv
color,Green,Verde,pokeapi:pokemon_color_names.csv
color,Pink,Rosa,pokeapi:pokemon_color_names.csv
color,Purple,Viola,pokeapi:pokemon_color_names.csv
color,Red,Rosso,pokeapi:pokemon_color_names.csv
color,White,Bianco,pokeapi:pokemon_color_names.csv
color,Yellow,Giallo,pokeapi:pokemon_color_names.csv
egg_group,Amorphous,Amorfo,pokeapi:egg_group_prose.csv
egg_group,Bug,Coleottero,pokeapi:egg_group_prose.csv
egg_group,Ditto,Ditto,pokeapi:egg_group_prose.csv
egg_group,Dragon,Drago,pokeapi:egg_group_prose.csv
egg_group,Fairy,Magico,pokeapi:egg_group_prose.csv
egg_group,Field,Campo,pokeapi:egg_group_prose.csv
egg_group,Flying,Volante,pokeapi:egg_group_prose.csv
egg_group,Grass,Erba,pokeapi:egg_group_prose.csv
egg_group,Human-Like,Umanoide,pokeapi:egg_group_prose.csv
egg_group,Mineral,Minerale,pokeapi:egg_group_prose.csv
egg_group,Monster,Mostro,pokeapi:egg_group_prose.csv
egg_group,Undiscovered,Non ancora scoperto,pokeapi:egg_group_prose.csv
egg_group,Water 1,Acqua 1,pokeapi:egg_group_prose.csv
egg_group,Water 2,Acqua 2,pokeapi:egg_group_prose.csv
egg_group,Water 3,Acqua 3,pokeapi:egg_group_prose.csv
genus,Abundance,Fertilità,pokeapi:pokemon_species_names.csv
genus,Acorn,Ghianda,pokeapi:pokemon_species_names.csv
genus,Alloy,Metallolega,pokeapi:pokemon_species_names.csv
genus,Alpha,Primevo,pokeapi:pokemon_species_names.csv
genus,Angler,Pescatore,pokeapi:pokemon_species_names.csv
genus,Ant Pit,Trappola,pokeapi:pokemon_species_names.csv
genus,Anteater,Formichiere,pokeapi:pokemon_species_names.csv
genus,Antenna,Antenna,pokeapi:pokemon_species_names.csv
genus,Apple Core,Pomicolo,pokeapi:pokemon_species_names.csv
genus,Apple Nectar,Pomisucco,pokeapi:pokemon_species_names.csv
genus,Apple Wing,Pomivolo,pokeapi:pokemon_species_names.csv
genus,Aqua Mouse,Acquatopo,pokeapi:pokemon_species_names.csv
genus,Aqua Rabbit,Acquniglio,pokeapi:pokemon_species_names.csv
genus,Arm Thrust,Sberletese,pokeapi:pokemon_species_names.csv
genus,Armor,Armatura,pokeapi:pokemon_species_names.csv
genus,Armor Bird,Armuccello,pokeapi:pokemon_species_names.csv
genus,Arrow Quill,Alifreccia,pokeapi:pokemon_species_names.csv
genus,Artificial,Artificiale,pokeapi:pokemon_species_names.csv
genus,Astral Body,Corpoceleste,pokeapi:pokemon_species_names.csv
genus,Atrocious,Atroce,pokeapi:pokemon_species_names.csv
genus,Attaching,Appiccicante,pokeapi:pokemon_species_names.csv
genus,Aura,Aura,pokeapi:pokemon_species_names.csv
genus,Aurora,Aurora,pokeapi:pokemon_species_names.csv
genus,Automaton,Statuanimata,pokeapi:pokemon_species_names.csv
genus,Avianoid,Pseuduccello,pokeapi:pokemon_species_names.csv
genus,Axe,Scure,pokeapi:pokemon_species_names.csv
genus,Axe Jaw,Mascellascia,pokeapi:pokemon_species_names.csv
genus,Baby,Bebè,pokeapi:pokemon_species_names.csv
genus,Bagworm,Larva,pokeapi:pokemon_species_names.csv
genus,Ball,Ball,pokeapi:pokemon_species_names.csv
genus,Ball Roll,Rotapalla,pokeapi:pokemon_species_names.csv
genus,Ball Whale,Balenottero,pokeapi:pokemon_species_names.csv
genus,Balloon,Pallone,pokeapi:pokemon_species_names.csv
genus,Barnacle,Lepade,pokeapi:pokemon_species_names.csv
genus,Barrier,Barriera,pokeapi:pokemon_species_names.csv
genus,Bash Buffalo,Sfondatoro,pokeapi:pokemon_species_names.csv
genus,Bat,Pipistrello,pokeapi:pokemon_species_names.csv
genus,Battery,Batteria,pokeapi:pokemon_species_names.csv
genus,Beak,Becco,pokeapi:pokemon_species_names.csv
genus,Beat,Ritmo,pokeapi:pokemon_species_names.csv
genus,Beaver,Castoro,pokeapi:pokemon_species_names.csv
genus,Beckon,Ipnosguardo,pokeapi:pokemon_species_names.csv
genus,Bee Fly,Bombilide,pokeapi:pokemon_species_names.csv
genus,Beehive,Alveare,pokeapi:pokemon_species_names.csv
genus,Bell,Sonaglio,pokeapi:pokemon_species_names.csv
genus,Big Boss,Grancapo,pokeapi:pokemon_species_names.csv
genus,Big Eater,Ghiottone,pokeapi:pokemon_species_names.csv
genus,Big Fish,Pescegrosso,pokeapi:pokemon_species_names.csv
genus,Big Horn,Grancorno,pokeapi:pokemon_species_names.csv
genus,Big Jaw,Mascellone,pokeapi:pokemon_species_names.csv
genus,Big Rock,Megalito,pokeapi:pokemon_species_names.csv
genus,Big Voice,Vocione,pokeapi:pokemon_species_names.csv
genus,Big-Hearted,Generosità,pokeapi:pokemon_species_names.csv
genus,Bird,Uccello,pokeapi:pokemon_species_names.csv
genus,Bite,Morso,pokeapi:pokemon_species_names.csv
genus,Bivalve,Bivalve,pokeapi:pokemon_species_names.csv
genus,Black Tea,Tè,pokeapi:pokemon_species_names.csv
genus,Blade,Lama,pokeapi:pokemon_species_names.csv
genus,Blade Quill,Piumaffilata,pokeapi:pokemon_species_names.csv
genus,Blast,Esplosivo,pokeapi:pokemon_species_names.csv
genus,Blast Turtle,Tartabomba,pokeapi:pokemon_species_names.csv
genus,Blaze,Vampe,pokeapi:pokemon_species_names.csv
genus,Blazing,Altefiamme,pokeapi:pokemon_species_names.csv
genus,Blimp,Dirigibile,pokeapi:pokemon_species_names.csv
genus,Blocking,Bloccaggio,pokeapi:pokemon_species_names.csv
genus,Bloom Sickle,Mantifiore,pokeapi:pokemon_species_names.csv
genus,Blossom,Bocciolo,pokeapi:pokemon_species_names.csv
genus,Bolt Strike,Fulminante,pokeapi:pokemon_species_names.csv
genus,Bone Keeper,Guardaossi,pokeapi:pokemon_species_names.csv
genus,Bone Vulture,Ossaquila,pokeapi:pokemon_species_names.csv
genus,Bonsai,Bonsai,pokeapi:pokemon_species_names.csv
genus,Bounce,Molla,pokeapi:pokemon_species_names.csv
genus,Boundary,Confine,pokeapi:pokemon_species_names.csv
genus,Bouquet,Floreale,pokeapi:pokemon_species_names.csv
genus,Boxing,Pugile,pokeapi:pokemon_species_names.csv
genus,Bright,Brillante,pokeapi:pokemon_species_names.csv
genus,Bronze,Bronzo,pokeapi:pokemon_species_names.csv
